table_city.id,table_city.mCode,table_city.mState,table_city.mName,table_city.is_active,table_city.created_on,table_city.created_by,table_city.modified_on,table_city.modified_by
99,130,37,Brasília,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
100,131,37,Cruzeiro,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
101,132,19,Poços de Caldas,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
102,139,40,Goiânia,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
103,138,37,Taguatinga,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
104,140,41,São Luís,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
105,142,42,Cuiabá,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
106,143,43,Campo Grande,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
107,144,43,Três Lagoas,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
108,145,43,Dourados,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
109,146,44,Belém,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
110,147,44,Ananindeua,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
111,148,45,Campina Grande,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
112,149,45,Conde,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
113,150,45,João Pessoa,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
114,151,46,Recife,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
115,152,46,Camaragibe,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
116,153,46,Porto de Galinhas,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
117,154,47,Teresina,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
118,155,48,Curitiba,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
119,156,48,Maringá,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
120,157,48,Umuarama,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
121,158,48,São José dos Pinhais,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
122,159,49,Porto Velho,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
123,160,50,Aracaju,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
124,161,51,Natal,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
125,162,51,Mossoró,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
